dataset,column,dtype,rows,nulls,null_pct
coinmetrics,AdrActCnt,float64,6221,1,0.00016074586079408456
coinmetrics,AdrBalCnt,float64,6221,1,0.00016074586079408456
coinmetrics,AssetCompletionTime,float64,6221,1,0.00016074586079408456
coinmetrics,AssetEODCompletionTime,float64,6221,1,0.00016074586079408456
coinmetrics,BlkCnt,float64,6221,1,0.00016074586079408456
coinmetrics,CapMVRVCur,float64,6221,562,0.09033917376627552
coinmetrics,CapMrktCurUSD,float64,6221,562,0.09033917376627552
coinmetrics,CapMrktEstUSD,float64,6221,3823,0.6145314258157852
coinmetrics,FeeTotNtv,float64,6221,1,0.00016074586079408456
coinmetrics,FlowInExNtv,float64,6221,1,0.00016074586079408456
coinmetrics,FlowInExUSD,float64,6221,562,0.09033917376627552
coinmetrics,FlowOutExNtv,float64,6221,1,0.00016074586079408456
coinmetrics,FlowOutExUSD,float64,6221,562,0.09033917376627552
coinmetrics,HashRate,float64,6221,7,0.001125221025558592
coinmetrics,IssTotNtv,float64,6221,7,0.001125221025558592
coinmetrics,IssTotUSD,float64,6221,562,0.09033917376627552
coinmetrics,PriceBTC,float64,6221,1,0.00016074586079408456
coinmetrics,PriceUSD,float64,6221,562,0.09033917376627552
coinmetrics,ROI1yr,float64,6221,927,0.1490114129561164
coinmetrics,ROI30d,float64,6221,592,0.09516154959009805
coinmetrics,ReferenceRate,float64,6221,6214,0.9988747789744414
coinmetrics,ReferenceRateETH,float64,6221,6214,0.9988747789744414
coinmetrics,ReferenceRateEUR,float64,6221,6214,0.9988747789744414
coinmetrics,ReferenceRateUSD,float64,6221,6214,0.9988747789744414
coinmetrics,SplyCur,float64,6221,1,0.00016074586079408456
coinmetrics,SplyExNtv,float64,6221,1,0.00016074586079408456
coinmetrics,SplyExUSD,float64,6221,562,0.09033917376627552
coinmetrics,SplyExpFut10yr,float64,6221,7,0.001125221025558592
coinmetrics,TxCnt,float64,6221,1,0.00016074586079408456
coinmetrics,TxTfrCnt,float64,6221,1,0.00016074586079408456
coinmetrics,volume_reported_spot_usd_1d,float64,6221,562,0.09033917376627552
coinmetrics,date,"datetime64[ns, UTC]",6221,0,0.0
