,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
AdrActCnt,0.21021355711532572,0.2541386843856807,0.03657891205314126,0.00625295944535014,-0.009969326872400423,-0.17308040033570016,0.07900471339277283,-0.07898278923150133
AdrBalCnt,0.2553037986585488,0.027649321344144554,-0.004550798573515479,0.03318448841553888,-0.0055338598110790185,-0.16211408291789528,0.07784693877242121,0.0031301624716887386
AssetCompletionTime,0.22689665964648892,-0.19876845138679802,0.002606298724836675,-0.013138717993440205,-0.0015362715515372756,0.04518398689455998,-0.018556164105710097,0.11439520838661173
AssetEODCompletionTime,0.226896659646489,-0.19876845138679788,0.0026062987248365015,-0.013138717993440173,-0.001536271551537052,0.04518398689456002,-0.018556164105710007,0.11439520838661235
BlkCnt,-0.032053849857636214,-0.01503823951343996,0.2582733332793555,-0.30777276813978854,-0.0757490559847605,-0.1388338609580892,0.23986292370700715,0.5031988207298561
CapMVRVCur,-0.01609329057833571,-0.08595239842178695,0.2121205214542126,-0.1370445018202989,-0.1857668156435833,-0.04561228421963414,-0.028497845646343407,-0.03201193749295384
CapMrktCurUSD,0.23987198149578415,-0.2008348887712856,0.018981965740394485,-0.0231441495424545,-0.027529229536342875,0.07460388382177281,-0.012830435139533062,-0.0027090785793327057
FeeTotNtv,0.025114881702060752,0.28653004782523206,0.14962447197339787,-0.0955708099549177,-0.15532902204609755,0.051880976197615405,0.056903800424832084,-0.2238296053452697
FlowInExNtv,0.05419751247488496,0.38272407649640267,0.08411520751529855,-0.11324054842257787,-0.09448552486224672,0.43410731612755676,-0.1304216107423771,0.08088120581003799
FlowInExUSD,0.2249977724515034,-0.1455336201753574,0.05396333199569882,-0.08547325918012597,-0.056612003713955104,0.25102175341144367,-0.05089374018688963,-0.08746081257636473
FlowOutExNtv,0.06764941877372221,0.3700870563303738,0.08833493735826319,-0.09502796738687722,-0.09442393912195081,0.45015362553261823,-0.12617172674691557,0.09009327974725945
FlowOutExUSD,0.2195934660064258,-0.15103958455460292,0.05423808797549829,-0.0748191052215124,-0.06402135960485007,0.26779491556818896,-0.05886507120952137,-0.07258438636351909
HashRate,0.23551994656185654,-0.19072416098276168,0.015096119651928254,-0.039380883070169424,0.02302012335367039,0.036535471541158764,-0.008384815683956067,0.0990393492516356
